codigo_ocorrencia,codigo_ocorrencia1,codigo_ocorrencia2,codigo_ocorrencia3,codigo_ocorrencia4,ocorrencia_classificacao,ocorrencia_latitude,ocorrencia_longitude,ocorrencia_cidade,ocorrencia_tipo,ocorrencia_tipo_categoria,ocorrencia_uf,ocorrencia_pais,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,investigacao_aeronave_liberada,investigacao_status,divulgacao_relatorio_numero,divulgacao_relatorio_publicado,divulgacao_dia_publicacao,total_recomendacoes,total_aeronaves_envolvidas,ocorrencia_saida_pista
79756,79756,79756,79756,79756,INCIDENTE GRAVE,-22.507.222,-54.364.167,VICENTINA,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,MS,BRASIL,***,31/12/2020,09:00:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
79844,79844,79844,79844,79844,INCIDENTE,"-22,9875","-43,37",RIO DE JANEIRO,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RJ,BRASIL,SBJR,31/12/2020,13:24:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
79757,79757,79757,79757,79757,INCIDENTE GRAVE,-10.804.722,-49.756.389,LAGOA DA CONFUSÃO,FALHA DO MOTOR NO SOLO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR NO SOLO,TO,BRASIL,***,30/12/2020,18:30:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
79802,79802,79802,79802,79802,INCIDENTE,-22.81,-4.325.055.555.555,RIO DE JANEIRO,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,RJ,BRASIL,SBGL,30/12/2020,00:54:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
79753,79753,79753,79753,79753,INCIDENTE GRAVE,-18.045.000,-49.966.944,GOIATUBA,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,GO,BRASIL,***,29/12/2020,12:00:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,SIM
79755,79755,79755,79755,79755,ACIDENTE,-24.659.729,-52.289.648,MATO RICO,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,PR,BRASIL,***,29/12/2020,10:30:00,SIM,ATIVA,A-160/CENIPA/2020,NÃO,NULL,0,1,NÃO
79769,79769,79769,79769,79769,INCIDENTE GRAVE,-8.849.167,-69.266.389,MANOEL URBANO,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,AC,BRASIL,SIMB,29/12/2020,18:30:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,SIM
79804,79804,79804,79804,79804,INCIDENTE,-230.069.444.444,-471.344.444.444,CAMPINAS,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,SP,BRASIL,SBKP,29/12/2020,19:00:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
79754,79754,79754,79754,79754,INCIDENTE GRAVE,-12.194.444,-57.646.944,NOVA MARINGÁ,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,MT,BRASIL,***,28/12/2020,13:00:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,SIM
79800,79800,79800,79800,79800,INCIDENTE,-23.506.667,-46.633.889,SÃO PAULO,CORTANTE DE VENTO / TEMPESTADE,CORTANTE DE VENTO / TEMPESTADE,SP,BRASIL,SBMT,28/12/2020,10:15:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
79824,79824,79824,79824,79824,ACIDENTE,-192.125,-462.405.555.555,RIO PARANAÍBA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,MG,BRASIL,SNRP,28/12/2020,17:00:00,SIM,ATIVA,A-159/CENIPA/2020,NÃO,NULL,0,1,NÃO
79751,79751,79751,79751,79751,ACIDENTE,\t-23.289475\t,\t-52.13363\t,PRESIDENTE CASTELO BRANCO,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,PR,BRASIL,SSXO,27/12/2020,12:30:00,SIM,ATIVA,A-158/CENIPA/2020,NÃO,NULL,0,1,SIM
79749,79749,79749,79749,79749,ACIDENTE,-146.472,-4.826.306,MARITUBA,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,PA,BRASIL,***,26/12/2020,12:05:00,SIM,ATIVA,A-157/CENIPA/2020,NÃO,NULL,0,1,NÃO
79748,79748,79748,79748,79748,ACIDENTE,-30.836.944,-55.069.722,SANTANA DO LIVRAMENTO,POUSO SEM TREM,CONTATO ANORMAL COM A PISTA | POUSO SEM TREM,RS,BRASIL,APUA,23/12/2020,13:30:00,SIM,FINALIZADA,A-156/CENIPA/2020,SIM,2022-04-12,1,1,SIM
79787,79787,79787,79787,79787,INCIDENTE,-3.775.833.333.333,-3.853.222.222.222,FORTALEZA,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,CE,BRASIL,SBFZ,23/12/2020,18:30:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
79776,79776,79776,79776,79776,ACIDENTE,-18.883.611.111,-4.822.527.777.777,UBERLÂNDIA,REBOQUE DE PLANADOR,REBOQUE DE PLANADOR,MG,BRASIL,SBUL,22/12/2020,21:21:00,NÃO,ATIVA,A-155/CENIPA/2020,NÃO,NULL,0,1,SIM
79745,79745,79745,79745,79745,INCIDENTE,-536.777.777.777,-491.383.333.333,MARABÁ,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,PA,BRASIL,SBMA,21/12/2020,08:47:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
79759,79759,79759,79759,79759,INCIDENTE,-2.999.388.888.888,-5.117.111.111.111,PORTO ALEGRE,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RS,BRASIL,SBPA,21/12/2020,23:14:00,SIM,FINALIZADA,***,NÃO,NULL,0,1,NÃO
